common_name,scientific_name,ideal_soil,sun_req,water_req,usda_zone_min,usda_zone_max
Squash,Cucurbita moschata,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,2.0,11.0
Pea,Pisum sativum,"Light (sandy), Medium",Full sun,Moist,3.0,9.0
Cucamelon,Melothria scabra,,Full sun,,,
Red mulberry,Morus rubra,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,4.0,9.0
Common bean,Phaseolus vulgaris,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,2.0,11.0
Sweet cherry,Prunus avium,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,3.0,7.0
Peach,Prunus persica,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,5.0,9.0
Sage,Salvia officinalis,"Light (sandy), Medium",Full sun,"Dry, Moist",3.0,11.0
Jerusalem artichoke,Helianthus tuberosus,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Dry, Moist",4.0,8.0
Beech,Fagus sylvatica,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade, Full shade","Dry, Moist",4.0,7.0
Black locust,Robinia pseudoacacia,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",4.0,9.0
Black walnut,Juglans nigra,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,4.0,9.0
Chinese chestnut,Castanea mollissima,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Dry, Moist",4.0,8.0
English walnut,Juglans regia,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,5.0,9.0
Honey locust,Gleditsia triacanthos,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",3.0,9.0
Limber pine,Pinus flexilis,"Light (sandy), Medium",Full sun,"Dry, Moist",4.0,7.0
Monkey puzzle,Araucaria araucana,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,6.0,11.0
Madrone,Arbutus menziesii,"Light (sandy), Medium","Full sun, Partial sun/shade","Dry, Moist",7.0,9.0
Pignut hickory,Carya glabra,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Dry, Moist",4.0,9.0
Pinyon pine,Pinus cembroides,"Light (sandy), Medium",Full sun,"Dry, Moist",5.0,8.0
Ponderosa pine,Pinus ponderosa,"Light (sandy), Medium",Full sun,"Dry, Moist",4.0,8.0
Shagbark hickory,Carya ovata,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",4.0,8.0
Shellbark hickory,Carya laciniosa,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,5.0,9.0
Sour cherry,Prunus cerasus,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,3.0,7.0
Stone pine,Pinus pinea,"Light (sandy), Medium",Full sun,"Dry, Moist",7.0,11.0
Sugar maple,Acer saccharum,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,3.0,8.0
Sweet chestnut,Castanea sativa,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",5.0,7.0
Tree of heaven,Ailanthus altissima,"Light (sandy), Medium","Full sun, Partial sun/shade","Dry, Moist, Wet",5.0,8.0
Yellow buckeye,Aesculus flava,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,4.0,8.0
Persian Silk Tree,Albizia julibrissin,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Dry, Moist",6.0,9.0
Alder,Alnus glutinosa,"Medium, Heavy (clay)","Full sun, Partial sun/shade","Moist, Wet",3.0,7.0
Juneberry,Amelanchier canadensis,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,4.0,7.0
Chinese Angelica Tree,Aralia chinensis,"Light (sandy), Medium, Heavy (clay)","Partial sun/shade, Full shade",Moist,4.0,8.0
Chokeberry,Aronia melanocarpa,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Dry, Moist",3.0,8.0
Strawberry tree,Arbutus unedo,"Light (sandy), Medium","Full sun, Partial sun/shade","Dry, Moist",7.0,11.0
Manzanita,Arctostaphylos manzanita,"Light (sandy), Medium","Full sun, Partial sun/shade","Dry, Moist",7.0,10.0
Giant reed,Arundo donax,"Light (sandy), Medium, Heavy (clay)",Full sun,"Moist, Wet",6.0,10.0
Pawpaw,Asimina triloba,Medium,"Full sun, Partial sun/shade",Moist,5.0,8.0
Salt bush,Atriplex canescens,"Light (sandy), Medium",Full sun,"Dry, Moist",6.0,9.0
Spotted laurel,Aucuba japonica,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade, Full shade","Dry, Moist",7.0,10.0
Coyote brush,Baccharis pilularis,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",8.0,10.0
Bamboo,Bambusa textilis,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,7.0,11.0
Blue false indigo,Baptisia australis,"Light (sandy), Medium",Full sun,"Dry, Moist",3.0,9.0
Barberry,Berberis vulgaris,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Dry, Moist",3.0,7.0
Butterfly bush,Buddleia davidii,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",4.0,8.0
Common Box,Buxus sempervirens,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Dry, Moist",6.0,9.0
Bottlebrush,Callistemon citrinus,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist, Wet",8.0,11.0
Scotch heather,Calluna vulgaris,"Light (sandy), Medium","Full sun, Partial sun/shade","Dry, Moist",4.0,7.0
Siberian pea shrub,Caragana arborescens,"Light (sandy), Medium",Full sun,"Dry, Moist",2.0,7.0
American hornbeam,Carpinus caroliniana,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,3.0,9.0
Bittersweet,Celastrus orbiculatus,"Light (sandy), Medium","Full sun, Partial sun/shade, Full shade",Moist,4.0,8.0
Common Hackberry,Celtis occidentalis,"Light (sandy), Medium",Full sun,"Dry, Moist",3.0,9.0
Redbud,Cercis canadensis,"Light (sandy), Medium","Full sun, Partial sun/shade",Moist,4.0,9.0
Japanese quince,Chaenomeles speciosa,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade, Full shade",Moist,4.0,8.0
Mexican orange,Choisya ternata,"Light (sandy), Medium","Full sun, Partial sun/shade, Full shade",Moist,6.0,9.0
Summersweet,Clethra alnifolia,"Light (sandy), Medium","Full sun, Partial sun/shade","Moist, Wet",4.0,8.0
Cabbage palm,Cordyline australis,"Light (sandy), Medium","Full sun, Partial sun/shade",Moist,7.0,10.0
Chinese dogwood,Cornus kousa,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,5.0,8.0
Cornelian cherry,Cornus mas,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,4.0,8.0
Common Hazelnut,Corylus avellana,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,4.0,8.0
Azarole,Crataegus azarolus,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Moist, Wet",5.0,9.0
Black hawthorn,Crataegus douglasii,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Moist, Wet",4.0,8.0
Persimmon,Diospyros kaki,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,7.0,10.0
Date plum,Diospyros lotus,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,7.0,9.0
American persimmon,Diospyros virginiana,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,4.0,8.0
Mountain pepper,Tasmannia lanceolata,"Light (sandy), Medium",Partial sun/shade,Moist,7.0,10.0
Winter's bark,Drimys winteri,"Light (sandy), Medium","Full sun, Partial sun/shade",Moist,7.0,10.0
Russian olive,Elaeagnus angustifolia,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",2.0,7.0
Silverberry,Elaeagnus commutata,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",2.0,6.0
Goumi,Elaeagnus multiflora,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Dry, Moist",5.0,9.0
Autumn olive,Elaeagnus umbellata,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",3.0,7.0
Elaeagnus,Elaeagnus x ebbingei,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade, Full shade","Dry, Moist",5.0,9.0
Escallonia,Escallonia species,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",8.0,11.0
Pineapple guava,Acca sellowiana,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",8.0,11.0
Fig,Ficus carica,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",6.0,12.0
