plot_id,user_id,location_id,plot_name,area_sq_m,soil_type,sunlight_exposure,is_active
1,4,6,Blueberry Plot 19,713.95,Loamy,Partial Shade,0
2,6,6,Hydroponic Trial 47,856.96,Gravelly,Partial Shade,0
3,2,2,Rose Garden 39,594.79,Peaty,Full Sun,1
4,1,9,South Field 30,882.09,Peaty,Partial Shade,0
5,2,2,Hydroponic Trial 8,792.51,Artificial,Partial Shade,0
6,8,8,Bamboo Grove 21,828.98,Artificial,Partial Sun,1
7,1,3,Community Bed A 2,415.54,Peaty,Partial Shade,1
8,7,9,Central Plot 40,927.2,Peaty,Full Shade,1
9,3,3,Experimental Plot 48,556.2,Peaty,Partial Shade,0
10,5,8,Medicinal Herbs 10,529.15,Sandy,Partial Sun,1
11,6,2,Rose Garden 5,540.9,Peaty,Partial Sun,1
12,7,10,Hydroponic Trial 40,476.48,Gravelly,Full Sun,1
13,3,7,Succulent Bed 32,515.54,Peaty,Full Sun,1
14,9,8,Shade Grove 8,685.31,Peaty,Full Sun,1
15,6,4,Vegetable Patch 31,361.6,Sandy,Full Sun,0
16,8,3,Experiment Zone 5,899.62,Loamy,Partial Shade,0
17,8,2,Medicinal Herbs 29,20.63,Loamy,Full Sun,1
18,6,9,Rose Garden 10,914.8,Gravelly,Partial Shade,0
19,5,4,Shade Grove 31,51.1,Artificial,Partial Shade,0
20,3,9,Green Roof Bed 45,913.66,Silty,Full Sun,0
21,4,6,Bamboo Grove 16,903.59,Artificial,Partial Shade,1
22,2,4,Wildflower Strip 48,309.58,Silty,Full Sun,0
23,7,3,Test Strip 39,636.23,Silty,Partial Sun,1
24,9,8,Front Lawn 20,852.36,Loamy,Full Shade,0
25,1,10,Front Lawn 10,599.98,Gravelly,Partial Sun,1
26,10,9,Test Strip 5,12.13,Gravelly,Full Shade,1
27,1,6,East Field 24,25.95,Clay,Partial Sun,1
28,10,4,Test Strip 34,972.81,Artificial,Full Sun,0
29,7,1,East Field 31,146.2,Gravelly,Full Sun,0
30,5,6,Herb Spiral 7,836.46,Artificial,Partial Shade,1
31,8,1,Shade Grove 12,831.5,Loamy,Full Sun,0
32,9,5,Test Strip 38,764.86,Sandy,Full Shade,0
33,6,8,Community Bed A 12,439.54,Sandy,Partial Sun,1
34,3,2,Experiment Zone 28,313.11,Clay,Partial Sun,1
35,6,5,Fungi Patch 25,394.14,Gravelly,Full Sun,0
36,1,9,Compost Test Plot 49,42.4,Artificial,Full Shade,0
37,3,3,Hydroponic Trial 12,609.79,Gravelly,Partial Sun,1
38,8,4,Wildflower Strip 33,795.01,Sandy,Full Shade,0
39,10,9,Fungi Patch 13,963.68,Peaty,Full Shade,0
40,6,7,Medicinal Herbs 8,30.69,Loamy,Full Sun,0
41,3,9,Compost Test Plot 48,971.92,Artificial,Full Sun,1
42,10,3,Front Lawn 46,524.14,Silty,Partial Shade,0
43,4,4,Test Strip 38,557.72,Artificial,Full Sun,0
44,1,2,Tulip Rows 10,710.54,Peaty,Partial Shade,1
45,7,5,Central Plot 47,347.27,Peaty,Partial Shade,1
46,6,5,South Field 16,164.4,Sandy,Partial Shade,1
47,10,10,Vegetable Patch 27,154.73,Clay,Partial Sun,0
48,3,9,Vegetable Patch 10,976.83,Gravelly,Partial Shade,1
49,5,6,East Field 19,655.04,Clay,Full Sun,1
50,7,5,Tulip Rows 28,763.3,Loamy,Partial Shade,1
51,6,3,Cactus Corner 49,730.52,Gravelly,Full Sun,1
52,4,9,Bamboo Grove 8,83.32,Artificial,Partial Sun,1
53,7,10,Tree Nursery 3,716.41,Peaty,Partial Sun,1
54,4,8,Experiment Zone 21,870.79,Peaty,Partial Sun,0
55,5,4,South Field 8,348.15,Artificial,Full Shade,1
56,9,2,Experiment Zone 50,268.42,Gravelly,Partial Shade,0
57,5,6,Experiment Zone 6,412.29,Peaty,Full Shade,1
58,10,8,Bamboo Grove 33,273.12,Gravelly,Full Sun,0
59,2,6,Tulip Rows 38,257.51,Clay,Partial Shade,1
60,2,2,Experiment Zone 30,999.32,Loamy,Full Sun,0
61,10,8,Hydroponic Trial 44,287.0,Clay,Full Shade,0
62,7,1,Medicinal Herbs 30,800.71,Sandy,Full Shade,0
63,10,4,Wildflower Strip 45,32.38,Clay,Partial Shade,1
64,5,3,Green Roof Bed 42,883.78,Sandy,Partial Shade,1
65,6,5,Tulip Rows 39,698.88,Peaty,Full Sun,0
66,9,9,Experimental Plot 30,885.65,Sandy,Full Shade,0
67,3,6,Hydroponic Trial 14,305.57,Loamy,Full Sun,0
68,1,3,Blueberry Plot 28,461.05,Clay,Partial Shade,1
69,7,9,South Field 8,768.43,Sandy,Full Shade,0
70,7,10,North Orchard 26,639.7,Silty,Partial Sun,1
